A coupon code has been used. You cannot apply gift codes with the coupon to get discount.,"Es wurde ein Gutscheincode verwendet. Sie können mit dem Gutschein keine Gutscheincodes verwenden, um einen Rabatt zu erhalten."
You need to add your friend\'s address as the shipping address. We will send this gift card to that address.,Sie müssen die Adresse Ihres Freundes als Lieferadresse angeben. Wir senden diese Geschenkkarte an diese Adresse.
The gift code(s) has been used. You cannot apply a coupon code with gift codes to get discount.,"Der Gutscheincode wurde verwendet. Sie können keinen Gutscheincode mit Geschenkcodes verwenden, um einen Rabatt zu erhalten."
Active when order is complete,"Aktiv, wenn die Bestellung abgeschlossen ist"
There is not the Gift card template available.,Es ist keine Geschenkkartenvorlage verfügbar.
You didn\'t assign the Gift Card template to this product.,Sie haben diese Geschenkkartenvorlage nicht diesem Produkt zugewiesen.
Please enter Gift Card information.,Bitte geben Sie die Informationen zur Geschenkkarte ein.
Please specify product\'s required option(s).,Bitte geben Sie die gewünschten Optionen des Produkts an.
Create,Erstellen
Update,Aktualisieren
Mass update,Massenaktualisierung
Spent on order,Auf Bestellung
Refund,Rückerstattung
Redeem,einlösen
Cancel,Stornieren
There is no available gift card history action,Für die Geschenkkartenhistorie ist keine Aktion verfügbar
Pending,steht aus
Active,aktiv
Disabled,deaktiviert
Used,Gebraucht
Expired,Abgelaufen
Refunded,Rückerstattet
Not Send,Nicht senden
Sent via Email,Per E-Mail gesendet
Send via Post Office,Per E-Mail senden
"Gift Card with id ""%1"" does not exist.","Geschenkkarte mit der ID ""% 1"" ist nicht vorhanden."
Created by Api user,Erstellt von Api-Benutzer
Your Gift Card credit balance must be greater than 0.,Das Guthaben Ihrer Geschenkkarte muss größer als 0 sein.
Invalid pattern,Ungültiges Muster
Data_invalid,Daten ungültig
"Gift Card Template with id ""%1"" does not exist.","Geschenkkartenvorlage mit der ID ""% 1"" ist nicht vorhanden."
Gift Card Code,Gutscheincode
-- Please Select --,-- Bitte auswählen --
Fixed value,Fester Wert
Range of values,Wertebereich
Dropdown values,Drop-Werte
Code 128,Code 128
QR code,QR-Code
Physical,Physical
Virtual,Virtual
Combine,Combine
Enable,aktivieren Sie
Disable,Deaktivieren
Gift Card value,Wert der Geschenkkarte
Gift Card template,Geschenkkarte
Sender name,Absender
Recipient name,Name des Empfängers
